lad_name,construction,manufacture_advanced,manufacture_agrochemical,manufacture_automotive,manufacture_chemical_pharma,manufacture_construction,manufacture_electrical,manufacture_food,manufacture_food_2,manufacture_footwear_leather,manufacture_furniture,manufacture_light_misc,manufacture_machinery,manufacture_metallurgy,manufacture_metallurgy_misc,manufacture_metallurgy_tools,manufacture_optics,manufacture_paper,manufacture_plastic,manufacture_rubber,manufacture_shipbuilding,manufacture_textiles,manufacturing_aerospace,manufacturing_misc,mining_mining,mining_oil_gas,primary_farming,primary_fishing,primary_forestry,primary_livestock,services_agriculture_rural,services_automotive,services_business_support,services_cleaning_facilities,services_computing,services_consumer_retail,services_creative,services_creative_content,services_cultural,services_education,services_energy,services_finance_insurance,services_finance_real_state,services_freight_transport,services_head_offices,services_health,services_human_resources,services_kibs,services_leisure,services_professional_public,services_publishing,services_r_and_d,services_real_estate,services_repair_transport,services_residential_social_work,services_retail_misc,services_technical_engineering,services_telecommunications,services_transport_storage,services_travelling_tourism,services_urban_transport,services_waste_recycling,wholesale_repair_machinery,wholesale_retail_misc
Aberdeen City,5.678059536934951,0.2205071664829107,0.0,0.0,0.16538037486218302,0.0,0.16538037486218302,0.0,0.0,0.05512679162072767,0.33076074972436603,0.0,1.5986769570011026,0.0,0.0,0.11025358324145534,0.05512679162072767,0.16538037486218302,0.11025358324145534,0.16538037486218302,0.11025358324145534,0.11025358324145534,0.05512679162072767,0.2205071664829107,0.0,0.8820286659316428,0.11025358324145534,0.5512679162072767,0.11025358324145534,0.6063947078280044,1.2127894156560088,2.3153252480705624,4.685777287761852,0.8269018743109152,3.6383682469680267,5.512679162072767,6.063947078280044,0.16538037486218302,0.0,1.3230429988974641,0.05512679162072767,0.6063947078280044,1.6538037486218304,0.16538037486218302,0.9922822491730982,4.740904079382579,1.2679162072767365,9.977949283351709,1.0474090407938257,1.2127894156560088,0.11025358324145534,0.33076074972436603,3.528114663726571,0.0,1.3781697905181918,4.906284454244763,25.027563395810365,0.27563395810363833,0.5512679162072767,0.05512679162072767,1.0474090407938257,0.11025358324145534,1.9845644983461963,1.6538037486218304
Aberdeenshire,9.090909090909092,0.14260249554367202,0.0,0.10695187165775401,0.21390374331550802,0.0,0.07130124777183601,0.14260249554367202,0.07130124777183601,0.0,0.53475935828877,0.0,2.13903743315508,0.0,0.0,0.14260249554367202,0.07130124777183601,0.07130124777183601,0.035650623885918005,0.07130124777183601,0.21390374331550802,0.17825311942959002,0.0,0.07130124777183601,0.07130124777183601,0.24955436720142604,1.9251336898395723,4.45632798573975,0.6060606060606061,14.759358288770052,2.4955436720142603,2.9946524064171123,3.1016042780748663,0.4634581105169341,2.13903743315508,4.206773618538325,4.670231729055258,0.14260249554367202,0.035650623885918005,0.8556149732620321,0.6060606060606061,0.39215686274509803,0.35650623885918004,0.07130124777183601,0.7486631016042781,3.0659536541889483,0.6060606060606061,6.3458110516934045,1.06951871657754,0.32085561497326204,0.10695187165775401,0.14260249554367202,2.2103386809269163,0.0,1.1051693404634582,3.9928698752228167,17.326203208556148,0.14260249554367202,0.35650623885918004,0.07130124777183601,1.7468805704099821,0.14260249554367202,1.3190730837789661,1.2121212121212122
Adur,17.073170731707318,0.7317073170731708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317073170731708,0.0,1.951219512195122,0.0,0.0,0.0,0.0,1.2195121951219512,0.4878048780487805,0.0,0.0,0.24390243902439024,0.4878048780487805,0.24390243902439024,0.0,0.0,0.0,0.4878048780487805,0.0,0.24390243902439024,1.2195121951219512,3.414634146341464,3.6585365853658534,1.951219512195122,6.097560975609756,7.073170731707316,4.390243902439024,0.7317073170731708,0.0,1.707317073170732,0.0,1.4634146341463417,1.4634146341463417,0.0,1.707317073170732,7.317073170731707,1.4634146341463417,5.609756097560976,0.24390243902439024,0.7317073170731708,0.4878048780487805,0.24390243902439024,2.4390243902439024,0.0,2.195121951219512,5.609756097560976,3.6585365853658534,0.4878048780487805,0.7317073170731708,0.4878048780487805,1.4634146341463417,0.4878048780487805,2.4390243902439024,5.121951219512195
Allerdale,11.428571428571429,0.0,0.0,0.0,0.1142857142857143,0.0,0.0,0.34285714285714286,0.0,0.0,0.5714285714285714,0.0,1.3714285714285714,0.0,0.0,0.1142857142857143,0.0,0.2285714285714286,0.0,0.0,0.0,0.1142857142857143,0.0,0.2285714285714286,0.34285714285714286,0.0,8.457142857142857,0.4571428571428572,0.2285714285714286,15.2,2.857142857142857,2.857142857142857,4.914285714285714,0.8,1.1428571428571428,6.9714285714285715,3.085714285714286,0.0,0.1142857142857143,1.6,0.1142857142857143,1.4857142857142858,0.6857142857142857,0.0,1.1428571428571428,3.2,0.2285714285714286,3.085714285714286,2.9714285714285715,1.3714285714285714,0.1142857142857143,0.1142857142857143,2.057142857142857,0.0,1.6,7.428571428571429,6.4,0.0,0.34285714285714286,0.2285714285714286,2.2857142857142856,0.1142857142857143,0.8,0.6857142857142857
Amber Valley,14.030915576694412,0.11890606420927466,0.0,0.11890606420927466,0.47562425683709864,0.0,0.23781212841854932,0.11890606420927466,0.0,0.0,1.1890606420927468,0.0,2.0214030915576697,0.0,0.0,0.11890606420927466,0.0,0.713436385255648,0.5945303210463734,0.11890606420927466,0.0,0.5945303210463734,0.0,0.713436385255648,0.11890606420927466,0.0,2.7348394768133173,0.0,0.0,4.161712247324614,2.0214030915576697,4.875148632580261,2.853745541022592,1.3079667063020213,3.0915576694411415,7.13436385255648,3.56718192627824,0.23781212841854932,0.0,1.5457788347205708,0.11890606420927466,1.1890606420927468,1.426872770511296,0.0,1.3079667063020213,5.826397146254459,0.5945303210463734,5.469678953626635,0.356718192627824,0.9512485136741973,0.23781212841854932,0.11890606420927466,3.686087990487515,0.356718192627824,2.2592152199762188,7.609988109393578,3.4482758620689653,0.11890606420927466,0.23781212841854932,0.11890606420927466,3.4482758620689653,0.47562425683709864,2.6159334126040426,3.2104637336504163
Anglesey,12.684989429175475,0.0,0.0,0.0,0.0,0.0,0.0,0.21141649048625794,0.21141649048625794,0.0,0.42283298097251587,0.0,1.0570824524312896,0.0,0.0,0.0,0.0,0.21141649048625794,0.0,0.0,0.0,0.21141649048625794,0.0,0.42283298097251587,0.21141649048625794,0.0,0.21141649048625794,1.4799154334038054,0.0,23.678646934460886,3.382663847780127,3.8054968287526427,2.3255813953488373,1.0570824524312896,1.2684989429175475,8.879492600422834,2.748414376321353,0.42283298097251587,0.0,1.2684989429175475,0.0,0.42283298097251587,0.8456659619450317,0.21141649048625794,0.8456659619450317,3.382663847780127,0.0,1.6913319238900635,3.382663847780127,1.2684989429175475,0.0,0.21141649048625794,1.9027484143763214,0.0,2.3255813953488373,9.090909090909092,2.536997885835095,0.0,0.21141649048625794,0.0,2.1141649048625792,0.42283298097251587,0.6342494714587738,2.3255813953488373
Angus,10.610079575596817,0.1326259946949602,0.0,0.2652519893899204,0.1326259946949602,0.0,0.0,0.0,0.0,0.0,0.9283819628647214,0.0,2.3872679045092835,0.0,0.0,0.0,0.0,0.2652519893899204,0.0,0.1326259946949602,0.0,0.2652519893899204,0.0,0.0,0.1326259946949602,0.1326259946949602,4.509283819628647,1.0610079575596816,0.7957559681697612,11.671087533156498,3.3156498673740056,3.3156498673740056,2.6525198938992043,0.7957559681697612,1.5915119363395225,7.957559681697612,3.8461538461538463,0.1326259946949602,0.0,0.7957559681697612,0.3978779840848806,0.6631299734748011,0.7957559681697612,0.0,1.0610079575596816,3.580901856763926,0.3978779840848806,3.8461538461538463,1.3262599469496021,0.6631299734748011,0.1326259946949602,0.0,2.7851458885941645,0.0,1.989389920424403,8.355437665782492,10.477453580901857,0.0,0.3978779840848806,0.0,2.519893899204244,0.1326259946949602,0.9283819628647214,1.7241379310344827
Antrim,14.285714285714285,0.0,0.0,0.2801120448179272,0.0,0.0,0.0,0.2801120448179272,0.0,0.0,1.1204481792717087,0.0,1.400560224089636,0.0,0.0,0.0,0.0,0.2801120448179272,0.5602240896358543,0.0,0.0,0.2801120448179272,0.5602240896358543,0.2801120448179272,0.0,0.0,0.5602240896358543,0.2801120448179272,0.0,27.73109243697479,1.9607843137254901,5.042016806722689,0.8403361344537815,0.5602240896358543,2.2408963585434174,7.563025210084033,1.1204481792717087,0.0,0.0,0.5602240896358543,0.0,0.8403361344537815,1.1204481792717087,0.0,1.680672268907563,2.5210084033613445,0.0,1.1204481792717087,0.5602240896358543,0.8403361344537815,0.0,0.0,3.081232492997199,0.0,1.680672268907563,5.88235294117647,1.9607843137254901,0.0,0.8403361344537815,0.2801120448179272,3.9215686274509802,0.5602240896358543,1.9607843137254901,3.361344537815126
Ards,12.334801762114537,0.22026431718061676,0.0,0.22026431718061676,0.0,0.0,0.0,0.22026431718061676,0.0,0.0,0.6607929515418502,0.0,1.9823788546255507,0.0,0.0,0.0,0.0,0.22026431718061676,0.4405286343612335,0.0,0.0,0.22026431718061676,0.22026431718061676,0.0,0.0,0.0,1.762114537444934,2.4229074889867843,0.0,19.823788546255507,3.303964757709251,4.845814977973569,0.6607929515418502,0.4405286343612335,1.3215859030837005,10.352422907488986,1.762114537444934,0.22026431718061676,0.0,0.4405286343612335,0.0,0.881057268722467,0.6607929515418502,0.0,2.4229074889867843,3.524229074889868,0.22026431718061676,1.9823788546255507,0.4405286343612335,0.6607929515418502,0.0,0.0,3.303964757709251,0.0,2.643171806167401,9.47136563876652,1.762114537444934,0.22026431718061676,0.22026431718061676,0.22026431718061676,1.5418502202643172,0.4405286343612335,1.9823788546255507,3.303964757709251
Argyll and Bute,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6684491978609626,0.0,0.8021390374331552,0.0,0.0,0.0,0.0,0.1336898395721925,0.0,0.0,0.53475935828877,0.0,0.0,0.267379679144385,0.0,0.0,0.53475935828877,5.347593582887701,1.8716577540106951,15.106951871657753,3.342245989304813,2.807486631016043,2.406417112299465,0.4010695187165776,1.7379679144385027,10.16042780748663,3.074866310160428,0.267379679144385,0.4010695187165776,0.9358288770053476,0.6684491978609626,0.267379679144385,0.8021390374331552,0.6684491978609626,1.3368983957219251,4.411764705882353,0.267379679144385,2.941176470588235,6.149732620320856,0.53475935828877,0.4010695187165776,0.1336898395721925,2.13903743315508,0.0,2.272727272727273,8.55614973262032,3.2085561497326207,0.267379679144385,0.53475935828877,0.4010695187165776,1.3368983957219251,0.1336898395721925,0.9358288770053476,1.7379679144385027
